3,đăng kí vào câu lạc bộ an toàn thông tin thì có cần phỏng vấn hay thi tuyển gì không bạn?
4,hoạt động sắp tới mình đi thì có gì làm không ta ?
1,liên hệ ai để hỏi về xuân tình nguyện
3,giờ muốn đăng kí vào cse jobfair thì làm thế nào nhỉ
3,cái job fair đăng ký như thế nào vậy?
1,làm sao để biết thêm thông tin nhỉ 
1,cho mình xin thông tin liên hệ của hoạt động kms với
3,vậy mình muốn đăng ký tham gia thì làm thế nào
3,muốn tham dự quá mà chưa biết đăng ký như thế nào ta 
1,để đăng kí mùa hè xanh thì hỏi ai vậy?
0,hậu duệ pascal là gì
3,kms tour muốn tham gia thì đăng ký sao vậy 
1,mình muốn tham gia chiến dịch mùa hè xanh thì liên hệ ai nhỉ
2,các chiến dịch như xuân tình nguyện  mùa hè xanh có giới hạn số lượng người tham gia không vậy?
0,cho mình hỏi một số thông tin về về cuộc thi cơn lốc hóa học sắp tới đi 
2,khoa khác có thể tham gia chiến dịch mùa hè xanh của khoa kỹ thuật hóa học được không
2,cuộc thi hậu duệ pascal có cho phép sinh viên các năm 2 3  4 tham gia không ạ?
3,làm sao để đăng ký vậy ?
1,giờ muốn biết thêm về hội trại cse connection thì hỏi ai bạn nhỉ?
0,cho mình xin thông tin về bkmedia với
4,đi hoạt động này thì có gì làm ta
0,cho mình hỏi về robocon
0,xuân tình nguyện là hoạt động gì vậy ạ?
0,khoa máy tính có những hoạt động nào vây
1,mình muốn tham gia hội trại quá mà hết slot rồi giờ làm sao?
2,sức khỏe mình không tốt lắm  mà nghe nói đi mùa hè xanh toàn làm việc nặng  không biết có yêu cầu đặt biệt gì về sức khỏe không?
3,mình muốn đăng ký đi chào người bạn mới  thì làm như thế nào ^^ ? 
3,đăng ký ra sao vậy bạn ơi ?
3,đăng ký như nào ?
1,cho xin email cái người mà tổ chức đi 
4,tham gia mùa hè xanh là đi làm đường đồ hay sao??
3,bạn cho mình hỏi về cách thức đăng kí cho hoạt động hiến máu
3,có thông tin đăng ký cse connection của năm sau chưa ạ?
4,mùa hè xanh thì mình làm gì á ad
4,có những việc gì trong sự kiện này vậy?
4,kms tour 2019 gồm những hoạt động gì ạ
3,mình muốn tham gia lớp học phụ đạo của chúng ta cùng tiến thì phải đăng ký làm sao
2,đối tượng được tham gia chiến dịch mùa hè xanh là ai nhỉ
4,đi xuân tình nguyện thì cụ thể công việc là làm gì vậy bạn ơi ? 
3,bạn làm ơn nhắn cho tớ đường link đăng ký được không ?
3,mình muốn tăng ngày công tác xã hội
3,cho mình xin link đăng ký với bạn ơi.
1,mình muốn trao đổi thêm về hoạt động này 
0,mình muốn biết thêm thông tin về hoạt động này 
0,mình muốn hỏi một chút về jobfair sắp tới
2,mình ở trường khác được tham dự cuộc thi này không vậy 
1,mình muốn đăng kí hiến máu tình nguyện thì liên hệ với ai ạ
4,mình có được quyên góp đồ cho trẻ em nghèo trong chiến dịch xuân tình nguyện không ạ
3,cậu làm ơn cho mình xin đường link đăng ký được không vậy 
3,hội trại chào người bạn mới này mình đăng ký ở đâu vậy bạn
2,mình tham gia xuân tình nguyện năm trước rồi vậy năm nay có được tham gia nữa không?
2,sinh viên part-time và hệ vừa học vừa làm có tham gia xuân tình nguyện được không ạ?
3,đi hội trại chào người bạn mới thì đăng ký như thế nào vậy ad
4,tiếp sức mùa thi gồm những hoạt động nào vậy bạn?
0,có những hoạt động công tác xã hội nào?
1,cho mình xin email của trưởng ban tổ chức cuộc thi kiến thức cùng asean
1,cho mình xin số điện thoại của trưởng ban tổ chức cuộc thi dấu ấn tình nguyện với
1,để được tham gia các hoạt động tình nguyện thì nên liên hệ ai vậy bạn?
